article_links,body,title
https://www.eluniversal.com.mx/ciencia-y-salud/por-que-los-modelos-matematicos-del-gobierno-para-la-epidemia-del-covid-19-son,"
En la pasada vespertinera del 16 de abril en Palacio Nacional, el Dr. López-Gatell presentó las conclusiones de un equipo enfocado en modelar el desarrollo futuro de la epidemia del coronavirus en México. Una lámina de su exposición muestra una gráfica con las “proyecciones científicas”, es decir, los resultados de un modelo computacional diseñado para predecir los contagios diarios por la epidemia. El modelo fue alimentado con datos recabados hasta ese día. Reproduzco la gráfica para tomarla como referencia. El eje vertical es el número de casos diarios de coronavirus esperados en el Valle de México y el eje horizontal tiene fechas que abarcan del 5 de marzo al 23 de julio. La curva verde muestra el valor medio del pronóstico de contagios. La curva izquierda es lo que supuestamente hubiera pasado de no haber tomado ninguna medida de distanciamiento social.
 ",¿Por qué los modelos matemáticos del gobierno para la epidemia del Covid-19 son fallidos?
https://www.eluniversal.com.mx/espectaculos/farandula/thalia-y-erik-rubin-recrean-romantica-llamada-de-timbiriche,"Thalía volvió a impresionar a sus seguidores con un nuevo TikTok en el cual se le ve interpretando el tema ""No sé si es amor"" uno de los más grandes éxitos del grupo Timbiriche que interpretó en compañía de Erik Rubín.",Thalía y Erik Rubín recrean romántica llamada de Timbiriche 
https://www.eluniversal.com.mx/estados/coronavirus-jalisco-casos-confirmados-de-covid-19-al-8-de-mayo,"
Jalisco tiene 554 casos confirmados y 47 muertos por coronavirus, de acuerdo con el reporte del 8 de mayo de la Secretaría de Salud del gobierno federal.",Coronavirus Jalisco: Casos confirmados de Covid-19 al 8 de mayo
https://www.eluniversal.com.mx/universal-deportes/futbol/champions-league-revelan-la-fecha-de-regreso-de-la-champions,"El presidente del Lyon, Jean Michel Aulas, desveló que la Champions League tiene previsto su regreso para el próximo 7 de agosto con el partido de vuelta que el equipo francés tiene que disputar ante el Juventus italiano.",Revelan la fecha de regreso de la Champions League
https://www.eluniversal.com.mx/de-ultima,,Danna Paola deslumbra con costoso collar de conocida firma francesa
https://www.eluniversal.com.mx/estados/coronavirus-puebla-casos-confirmados-de-covid-19-al-8-de-mayo,"
En el estado de Puebla se han registrado 129 decesos y mil 017 casos confirmados de coronavirus al 8 de mayo.",Coronavirus Puebla: Casos confirmados de Covid-19 al 8 de mayo
https://www.eluniversal.com.mx/de-ultima/como-hacer-que-el-pelo-crezca-con-jengibre-en-el-shampoo,"Si estás dejándote crecer el pelo y no quieres invertir mucho dinero en productos que muchas veces terminan siendo todo menos maravillosos, algo que puedes utilizar para estimular el crecimiento es el jengibre.",Cómo hacer que el pelo crezca con un poco de jengibre
https://www.eluniversal.com.mx/nacion/coronavirus-lopez-gatell-pide-evitar-visitas-mamas-y-abuelas-el-dia-de-las-madres,"Luego de informar que en las últimas 24 horas se reportaron 193 muertes por Covid-19, por lo que suman 3 mil 353, y en cuanto a contagios la cifra se elevó a 33 mil 460 casos; mil 938 más que el día anterior, Hugo López-Gatell Ramírez, subsecretario de Prevención y Promoción de la Salud, pidió a los mexicanos ser creativos para celebrar el Día de las Madres a la distancia y evitar visitas a mamás y abuelas.","Por Covid-19, López-Gatell pide evitar visitas a mamás y abuelas el Día de las Madres"
https://www.eluniversal.com.mx/autor-opinion/articulistas/maria-elena-morera,,María Elena Morera
https://www.eluniversal.com.mx/nacion/difieren-por-fecha-del-pico-de-contagios-amlo-dice-mayo-academicos-junio,"Mientras que el Presidente informó que en la Ciudad de México el pico de contagios de Covid-19 comenzó a partir de ayer y se prolongará hasta el 20 de mayo, el modelo SC-COSMO —en el que participan académicos del CIDE y de la Universidad de Stanford—fija para un mes después, el 21 de junio, la etapa más dura de la pandemia.","Difieren por fecha del pico de contagios: AMLO dice mayo; académicos, junio"
https://www.eluniversal.com.mx/autor-opinion/columnistas/salvador-garcia-soto/serpientes-y-escaleras,,Salvador García Soto
