body,title
Las empresas de telefonía celular ampliarán la vigencia del “plan de emergencia”de prepago que incluye 100 minutos de llamadas y 150 mensajes de texto SMS.,Telefónicas amplían vigencia de plan de emergencia ante Covid-19
,Kenia López Rabadán 
,Guillermo Ochoa se ve en el Mundial de Qatar 2022
"
De acuerdo con el reporte de la Secretaría de Salud federal del 7 de mayo se han registrado mil 407 casos confirmados y 188 fallecimientos por Covid-19 en Tabasco.","Casos de Covid-19 en Yucatán, Quintana Roo y Tabasco al 7 de mayo"
"
La evasión fiscal del IVA con facturas falsas y del Impuesto Sobre la Renta (ISR) en sueldos y salarios, con relación laboral oculta, alcanzó los 85 mil 887 millones de pesos.",Factureros y patrones evadieron 86 mil mdp en 2018
,Alejandro Hope
"Tuxtla Gutiérrez, Chis.- Cinco agentes de la Policía Municipal de Altamirano fueron detenidos por habitantes de varias colonias, debido a que en medio de la cuarentena por el coronavirus, el alcalde Roberto Pinto Kanter repartía despensas con la condición de que lo apoyaran para postularse por tercera vez a la alcaldía. ",Alcalde del PVEM en Chiapas condiciona entrega de despensas ante Covid-19
,Coronavirus deja sin sustento a músicos y floristas
"El Comité Ejecutivo Nacional del Sindicato Nacional del Seguro Social condenó las muertes de tres trabajadoras del Instituto Mexicano del  Seguro Social (IMSS) en Torreón, Coahuila. ",Condena sindicato del IMSS asesinato de trabajadoras en Coahuila
"Reynosa, Tamaulipas.- Entre aplausos, Aydeé Vazquez Martínez, salió del Hospital 270 del Instituto Mexicano del Seguro Social, tras ganarle la batalla al Coronavirus.","""¡Eres una guerrera!"", así aplauden a enfermera que superó el Covid en Tamaulipas"
"""Stuck with you"" es el tema que Justin Bieber y Ariana Grande lanzaron en conjunto hace unas horas. ","Enamorados y en casa, Justin Bieber y Ariana Grande lanzan ""Stuck with U"""
"De acuerdo a la información otorgada por las autoridades sanitarias, el pico máximo de contagios en nuestro país, sucede este viertes 8 de mayo, lo que significa que hemos alcanzado el número más alto de casos por la enfermedad producida por el virus SARS-CoV-2.",¿Qué pasará después de alcanzar el pico más alto de contagios de Covid-19? 
"Washington.- Katie Miller, la portavoz del vicepresidente de Estados Unidos, Mike Pence, dio positivo este viernes por COVID-19, un día después de conocerse que un asistente personal del presidente Donald Trump, resultó también contagiado del coronavirus.",Da positivo por Covid-19 portavoz del vicepresidente de Estados Unidos 
"Zoé Robledo, director General del Instituto Mexicano del Seguro Social (IMSS), calificó como inaceptable el asesinato de tres trabajadoras del organismo de salud en Torreón, Coahuila e informó que se comunicó con el gobernador Miguel Ángel Riquelme para mantener una comunicación y llegar hasta las últimas consecuencias para evitar que haya impunidad en el caso. ","Inaceptable, asesinato de trabajadoras del IMSS en Coahuila: Zoé Robledo"
