uid,article_links,body,title,newspaper_uid,host,n_tokens_title,n_tokens_body
abab442b428cd7869eefe03501bde6fa,https://www.eluniversal.com.mx/nacion/politica/covid-19-advierte-eu-sobre-incremento-de-casos-en-mexico,"El gobierno de Estados Unidos advirtió a sus ciudadanos que el número de casos sospechosos y confirmados de Covid-19, aumentan diariamente.  ",Advierte EU sobre incremento de casos Covid-19 en México,eluniversal,www.eluniversal.com.mx,5,10
35bdd35243818b10fd4870cf62127717,https://www.eluniversal.com.mx/nacion/cifras-sobre-la-pandemia-se-someten-voluntad-del-poder-narro-frenk-y-chertorivski," Extitulares de la Secretaría de Salud federal afirmaron que los datos que da la actual administración ante la emergencia sanitaria por el Covid-19 no son creíbles, lo que ha generado un problema de certeza en las cifras que informan.","Cifras sobre la pandemia se someten a voluntad del poder: Narro, Frenk y Chertorivski ",eluniversal,www.eluniversal.com.mx,8,16
a0edeeca50cc8267a556a4a493ad144c,https://www.eluniversal.com.mx/mundo/una-llama-centro-de-una-investigacion-anticoronavirus-en-belgica,"Un pequeño anticuerpo producido por las llamas resulta eficaz para bloquear el nuevo coronavirus, descubrieron investigadores de la universidad belga de Gante, quienes reivindican ""un avance muy importante"" de cara a un tratamiento antiviral.","Una llama, centro de una investigación anticoronavirus en Bélgica",eluniversal,www.eluniversal.com.mx,5,20
53cb5621a414acf2092ea45f2e2efae5,https://www.eluniversal.com.mx/estados,estados,Coronavirus deja sin sustento a músicos y floristas,eluniversal,www.eluniversal.com.mx,5,0
55f308fd3668b5a502f0681cece3a097,https://www.eluniversal.com.mx/menu/receta-de-cheesecake-de-frutos-rojos,"El cheesecake puede convertirse en una de tus prioridades durante esta cuarentena, si quieres una nueva receta para preparar este delicioso postre, en Menú te diremos cómo hacer un cheesecake de frutos rojos. ",Prepara un delicioso cheesecake de frutos rojos ,eluniversal,www.eluniversal.com.mx,5,19
cc54c862cee3da4184e5d01fc9339bd0,https://www.eluniversal.com.mx/espectaculos/musica/foto-de-rosalia-causa-polemica-aseguran-que-fue-error-de-edicion,"La cantante española Rosalía ignoró la controversia que ha desatado la portada de la revista estadounidense ""People"" en Español en la que aparece para algunos ""demasiado morena"" y aseguró que la imagen le ha dado ""mucha alegría"" en medio de un confinamiento por el coronavirus en el que lo ""está pasando mal"".",Foto de Rosalía causa polémica; aseguran que fue un error de edición,eluniversal,www.eluniversal.com.mx,7,24
4458cf9f9418f174074094a4eb13bf91,https://www.eluniversal.com.mx/universal-deportes/futbol/manchester-united-felicita-chivas-gracias-por-chicharito,"No podían faltar las felicitaciones para el Club Guadalajara en su aniversario 114. Desde Europa, una de las grandes instituciones se lució con un mensaje original, en redes sociales.",Manchester United felicita a las Chivas en su aniversario: Gracias por 'Chicharito',eluniversal,www.eluniversal.com.mx,6,14
a4f918ce0639899356c178fe8b547607,https://www.eluniversal.com.mx/estados/catean-residencia-de-kiko-vega-ex-gobernador-de-baja-california,"Este viernes, elementos de la Fiscalía General de Justicia realizaron un cateo en una de las casas, en Tijuana, del ex gobernador panista Francisco ""Kiko"" Vega de Lamadrid.","Catean residencia de ""Kiko"" Vega, ex gobernador de Baja California",eluniversal,www.eluniversal.com.mx,8,16
5672d0da692d6c3f865c6768e21da7a6,https://www.eluniversal.com.mx/marcela-gomez-zalce,marcela gomez zalce,Marcela Gómez Zalce,eluniversal,www.eluniversal.com.mx,3,3
407f5a2107e69fd2bca9e3722f125b43,https://www.eluniversal.com.mx/estados/no-importa-que-nos-muramos-dicen-vecinos-en-tizimin-quitan-filtros-y-abren-parques,"DZONOT CARRETERO, TIZIMÍN, YUCATÁN.- ""Cansados"", según dicen, de la cuarentena y ""hartos"" del confinamiento dispuesto por las autoridades, pobladores y vecinos de esta comisaría del municipio del oriente del Estado, presionaron y exigieron al comisario municipal, retirar los ""filtros"" sanitarios y las prohibiciones para acudir al parque principal y el campo deportivo.","¡No importa que nos muramos!, dicen vecinos en Tizimín; quitan filtros y abren parques",eluniversal,www.eluniversal.com.mx,9,29
